time [yr], monthly mass flow [kg]
2009.0, 374713.00
2009.1, 543060.64
2009.2, 710761.60
2009.2, 837694.16
2009.3, 703287.70
2009.4, 549386.19
2009.5, 361173.78
2009.6, -11046.43
2009.7, -376591.57
2009.8, -515445.29
2009.8, -451665.78
2009.9, -9341.29
2010.0, 372773.57
2010.1, 681452.58
2010.2, 754095.09
2010.2, 718117.47
2010.3, 590586.08
2010.4, 587564.08
2010.5, 337907.52
2010.6, -13125.67
2010.7, -388238.70
2010.8, -726025.42
2010.8, -383024.34
2010.9, -12992.68
2011.0, 280168.89
2011.1, 671332.50
2011.2, 756645.62
2011.2, 620864.87
2011.3, 795092.12
2011.4, 579255.71
2011.5, 334309.05
2011.6, -9344.17
2011.7, -429959.66
2011.8, -591504.40
2011.8, -356446.34
2011.9, -13347.57
2012.0, 326038.79
2012.1, 475856.17
2012.2, 688576.74
2012.2, 779526.51
2012.3, 714504.63
2012.4, 668025.56
2012.5, 397692.39
2012.6, -11809.86
2012.7, -417744.42
2012.8, -527694.45
2012.8, -483239.72
2012.9, -13770.73
2013.0, 378502.43
2013.1, 512552.47
2013.2, 755374.12
2013.2, 588636.87
2013.3, 555230.39
2013.4, 591581.57
2013.5, 367523.81
2013.6, -10030.40
2013.7, -354736.91
2013.8, -581058.97
2013.8, -438480.73
2013.9, -12302.60
2014.0, 372676.59
2014.1, 678794.64
2014.2, 582769.71
2014.2, 729824.46
2014.3, 649482.88
2014.4, 580297.79
2014.5, 362853.33
2014.6, -10297.53
2014.7, -408765.71
2014.8, -566519.36
2014.8, -410944.00
2014.9, -10928.68
2015.0, 315031.29
2015.1, 458382.54
2015.2, 707629.53
2015.2, 725778.46
2015.3, 797579.42
2015.4, 486360.51
2015.5, 333131.72
2015.6, -11365.81
2015.7, -356948.67
2015.8, -552000.79
2015.8, -389457.97
2015.9, -10075.80
2016.0, 315060.79
2016.1, 639075.31
2016.2, 735749.62
2016.2, 772220.12
2016.3, 795662.23
2016.4, 471163.00
2016.5, 285997.31
2016.6, -13548.47
2016.7, -361716.69
2016.8, -699606.62
2016.8, -411854.92
2016.9, -10653.44
2017.0, 368944.69
2017.1, 589731.50
2017.2, 740560.45
2017.2, 666098.16
2017.3, 673914.33
2017.4, 523535.47
2017.5, 374623.14
2017.6, -9262.89
2017.7, -360067.12
2017.8, -524229.07
2017.8, -417133.03
2017.9, -10208.56
2018.0, 373606.33
2018.1, 568938.85
2018.2, 704698.27
2018.2, 816456.95
2018.3, 783496.71
2018.4, 493394.96
2018.5, 349945.00
2018.6, -13373.54
2018.7, -458801.44
2018.8, -506661.69
2018.8, -340959.73
2018.9, -13433.89
2019.0, 365576.48
