time [yr], Pressure [MPa]
2009.00, 25.16
2009.25, 25.79
2009.50, 25.68
2009.75, 25.02
2010.00, 24.91
2010.25, 25.59
2010.50, 25.91
2010.75, 25.01
2011.00, 24.74
2011.25, 25.79
2011.50, 25.88
2011.75, 24.86
2012.00, 24.74
2012.25, 25.78
2012.50, 25.87
2012.75, 24.98
2013.00, 24.74
2013.25, 25.69
2013.50, 25.74
2013.75, 25.20
2014.00, 24.72
2014.25, 25.94
2014.50, 25.83
2014.75, 25.14
2015.00, 24.85
2015.25, 25.75
2015.50, 25.71
2015.75, 25.04
2016.00, 24.81
2016.25, 25.90
2016.50, 25.64
2016.75, 25.07
2017.00, 24.71
2017.25, 25.72
2017.50, 25.67
2017.75, 25.14
2018.00, 24.75
2018.25, 25.87
2018.50, 25.89
2018.75, 25.13
2019.00, 24.78
